father,sun,fatherthrow,sunthrow,fathercatch,cancallfather,cancallsun,suncanseefather,fathercanseesun,result
rd,rd,true,true,true,true,true,true,true,
rd,rd,true,true,false,true,true,true,true,
rd,rd,true,false,null,true,true,true,true,
rd,ss,true,true,true,true,true,true,true,
rd,ss,true,true,false,true,true,true,true,
rd,ss,true,false,null,true,true,true,true,
rd,mt,true,true,true,true,true,true,true,
rd,mt,true,true,false,true,true,true,true,
rd,mt,true,false,null,true,true,true,true,
rd,rn,true,true,true,true,true,false,false,
rd,rn,true,true,false,true,true,false,false,
rd,rn,true,false,null,true,true,false,true,two
rd,ns,true,true,true,true,true,false,true,two
rd,ns,true,true,false,true,true,false,true,two
rd,ns,true,false,null,true,true,false,true,two
rd,nr,true,true,true,true,false,null,false,
rd,ne,true,true,true,true,true,true,false,
rd,ne,true,true,false,true,true,true,false,
rd,ne,true,false,null,true,true,true,true,
rd,none,true,true,true,true,true,true,true,
rd,none,true,true,false,true,true,true,true,
rd,none,true,false,null,true,true,true,true,
rd,rd,false,true,true,true,true,true,true,
rd,rd,false,true,false,true,true,true,true,
rd,rd,false,false,null,true,true,true,true,one|two
rd,ss,false,true,true,true,true,true,true,
rd,ss,false,true,false,true,true,true,true,
rd,ss,false,false,null,true,true,true,true,one|two
rd,mt,false,true,true,true,true,true,true,
rd,mt,false,true,false,true,true,true,true,
rd,mt,false,false,null,true,true,true,true,one|two
rd,rn,false,true,true,true,true,false,false,one
rd,rn,false,true,false,true,true,false,false,
rd,rn,false,false,null,true,true,false,true,one|two
rd,ns,false,true,true,true,true,false,true,one|two
rd,ns,false,true,false,true,true,false,true,two
rd,ns,false,false,null,true,true,false,true,one|two
rd,nr,false,true,true,true,false,null,false,one
rd,ne,false,true,true,true,true,true,false,one
rd,ne,false,true,false,true,true,true,false,
rd,ne,false,false,null,true,true,true,true,one|two
rd,none,false,true,true,true,true,true,true,one|two
rd,none,false,true,false,true,true,true,true,
rd,none,false,false,null,true,true,true,true,one|two
ss,rd,true,true,true,true,true,true,false,one
ss,rd,true,true,false,true,true,true,false,one
ss,rd,true,false,null,true,true,true,true,one|two
ss,ss,true,true,true,true,true,true,true,one|two
ss,ss,true,true,false,true,true,true,true,one|two
ss,ss,true,false,null,true,true,true,true,one|two
ss,mt,true,true,true,true,false,null,false,one
ss,rn,true,true,true,true,true,true,false,one
ss,rn,true,true,false,true,true,true,false,one
ss,rn,true,false,null,true,true,true,true,one|two
ss,ns,true,true,true,true,true,true,true,one|two
ss,ns,true,true,false,true,true,true,true,one|two
ss,ns,true,false,null,true,true,true,true,one|two
ss,nr,true,true,true,true,true,true,true,one|two
ss,nr,true,true,false,true,true,true,true,one|two
ss,nr,true,false,null,true,true,true,true,one|two
ss,ne,true,true,true,true,true,true,false,one
ss,ne,true,true,false,true,true,true,false,one
ss,ne,true,false,null,true,true,true,true,one|two
ss,none,true,true,true,true,true,true,true,one|two
ss,none,true,true,false,true,true,true,true,one|two
ss,none,true,false,null,true,true,true,true,one|two
ss,rd,false,true,true,true,true,true,false,one
ss,rd,false,true,false,true,true,true,false,one
ss,rd,false,false,null,true,true,true,true,one|two
ss,ss,false,true,true,true,true,true,true,one|two
ss,ss,false,true,false,true,true,true,true,one|two
ss,ss,false,false,null,true,true,true,true,one|two
ss,mt,false,true,true,true,false,null,false,one
ss,rn,false,true,true,true,true,true,false,one
ss,rn,false,true,false,true,true,true,false,one
ss,rn,false,false,null,true,true,true,true,one|two
ss,ns,false,true,true,true,true,true,true,one|two
ss,ns,false,true,false,true,true,true,true,one|two
ss,ns,false,false,null,true,true,true,true,one|two
ss,nr,false,true,true,true,true,true,true,one|two
ss,nr,false,true,false,true,true,true,true,one|two
ss,nr,false,false,null,true,true,true,true,one|two
ss,ne,false,true,true,true,true,true,false,one
ss,ne,false,true,false,true,true,true,false,one
ss,ne,false,false,null,true,true,true,true,one|two
ss,none,false,true,true,true,true,true,true,one|two
ss,none,false,true,false,true,true,true,true,one|two
ss,none,false,false,null,true,true,true,true,one|two
mt,rd,true,true,true,false,false,null,null,
rn,rd,true,true,true,true,true,true,true,
rn,rd,true,true,false,true,true,true,true,
rn,rd,true,false,null,true,true,true,true,
rn,ss,true,true,true,true,true,true,true,
rn,ss,true,true,false,true,true,true,true,
rn,ss,true,false,null,true,true,true,true,
rn,mt,true,true,true,true,true,true,true,
rn,mt,true,true,false,true,true,true,true,
rn,mt,true,false,null,true,true,true,true,
rn,rn,true,true,true,true,true,false,false,
rn,rn,true,true,false,true,true,false,false,
rn,rn,true,false,null,true,true,false,true,two
rn,ns,true,true,true,true,true,false,true,two
rn,ns,true,true,false,true,true,false,true,two
rn,ns,true,false,null,true,true,false,true,two
rn,nr,true,true,true,true,false,null,false,
rn,ne,true,true,true,true,true,true,false,
rn,ne,true,true,false,true,true,true,false,
rn,ne,true,false,null,true,true,true,true,
rn,none,true,true,true,true,true,true,true,
rn,none,true,true,false,true,true,true,true,
rn,none,true,false,null,true,true,true,true,
rn,rd,false,true,true,true,true,true,true,
rn,rd,false,true,false,true,true,true,true,
rn,rd,false,false,null,true,true,true,true,one|two
rn,ss,false,true,true,true,true,true,true,
rn,ss,false,true,false,true,true,true,true,
rn,ss,false,false,null,true,true,true,true,one|two
rn,mt,false,true,true,true,true,true,true,
rn,mt,false,true,false,true,true,true,true,
rn,mt,false,false,null,true,true,true,true,one|two
rn,rn,false,true,true,true,true,false,false,one
rn,rn,false,true,false,true,true,false,false,
rn,rn,false,false,null,true,true,false,true,one|two
rn,ns,false,true,true,true,true,false,true,one|two
rn,ns,false,true,false,true,true,false,true,two
rn,ns,false,false,null,true,true,false,true,one|two
rn,nr,false,true,true,true,false,null,false,one
rn,ne,false,true,true,true,true,true,false,one
rn,ne,false,true,false,true,true,true,false,
rn,ne,false,false,null,true,true,true,true,one|two
rn,none,false,true,true,true,true,true,true,one|two
rn,none,false,true,false,true,true,true,true,
rn,none,false,false,null,true,true,true,true,one|two
ns,rd,true,true,true,true,true,true,false,one
ns,rd,true,true,false,true,true,true,false,one
ns,rd,true,false,null,true,true,true,true,one|two
ns,ss,true,true,true,true,true,true,true,one|two
ns,ss,true,true,false,true,true,true,true,one|two
ns,ss,true,false,null,true,true,true,true,one|two
ns,mt,true,true,true,true,false,null,false,one
ns,rn,true,true,true,true,true,true,false,one
ns,rn,true,true,false,true,true,true,false,one
ns,rn,true,false,null,true,true,true,true,one|two
ns,ns,true,true,true,true,true,true,true,one|two
ns,ns,true,true,false,true,true,true,true,one|two
ns,ns,true,false,null,true,true,true,true,one|two
ns,nr,true,true,true,true,true,true,true,one|two
ns,nr,true,true,false,true,true,true,true,one|two
ns,nr,true,false,null,true,true,true,true,one|two
ns,ne,true,true,true,true,true,true,false,one
ns,ne,true,true,false,true,true,true,false,one
ns,ne,true,false,null,true,true,true,true,one|two
ns,none,true,true,true,true,true,true,true,one|two
ns,none,true,true,false,true,true,true,true,one|two
ns,none,true,false,null,true,true,true,true,one|two
ns,rd,false,true,true,true,true,true,false,one
ns,rd,false,true,false,true,true,true,false,one
ns,rd,false,false,null,true,true,true,true,one|two
ns,ss,false,true,true,true,true,true,true,one|two
ns,ss,false,true,false,true,true,true,true,one|two
ns,ss,false,false,null,true,true,true,true,one|two
ns,mt,false,true,true,true,false,null,false,one
ns,rn,false,true,true,true,true,true,false,one
ns,rn,false,true,false,true,true,true,false,one
ns,rn,false,false,null,true,true,true,true,one|two
ns,ns,false,true,true,true,true,true,true,one|two
ns,ns,false,true,false,true,true,true,true,one|two
ns,ns,false,false,null,true,true,true,true,one|two
ns,nr,false,true,true,true,true,true,true,one|two
ns,nr,false,true,false,true,true,true,true,one|two
ns,nr,false,false,null,true,true,true,true,one|two
ns,ne,false,true,true,true,true,true,false,one
ns,ne,false,true,false,true,true,true,false,one
ns,ne,false,false,null,true,true,true,true,one|two
ns,none,false,true,true,true,true,true,true,one|two
ns,none,false,true,false,true,true,true,true,one|two
ns,none,false,false,null,true,true,true,true,one|two
nr,rd,true,true,true,true,true,true,false,one
nr,rd,true,true,false,true,true,true,false,one
nr,rd,true,false,null,true,true,true,true,one|two
nr,ss,true,true,true,true,true,true,true,one|two
nr,ss,true,true,false,true,true,true,true,one|two
nr,ss,true,false,null,true,true,true,true,one|two
nr,mt,true,true,true,true,false,null,false,one
nr,rn,true,true,true,true,true,true,false,one
nr,rn,true,true,false,true,true,true,false,one
nr,rn,true,false,null,true,true,true,true,one|two
nr,ns,true,true,true,true,true,true,true,one|two
nr,ns,true,true,false,true,true,true,true,one|two
nr,ns,true,false,null,true,true,true,true,one|two
nr,nr,true,true,true,true,true,true,true,one|two
nr,nr,true,true,false,true,true,true,true,one|two
nr,nr,true,false,null,true,true,true,true,one|two
nr,ne,true,true,true,true,true,true,false,one
nr,ne,true,true,false,true,true,true,false,one
nr,ne,true,false,null,true,true,true,true,one|two
nr,none,true,true,true,true,true,true,true,one|two
nr,none,true,true,false,true,true,true,true,one|two
nr,none,true,false,null,true,true,true,true,one|two
nr,rd,false,true,true,true,true,true,false,one
nr,rd,false,true,false,true,true,true,false,one
nr,rd,false,false,null,true,true,true,true,one|two
nr,ss,false,true,true,true,true,true,true,one|two
nr,ss,false,true,false,true,true,true,true,one|two
nr,ss,false,false,null,true,true,true,true,one|two
nr,mt,false,true,true,true,false,null,false,one
nr,rn,false,true,true,true,true,true,false,one
nr,rn,false,true,false,true,true,true,false,one
nr,rn,false,false,null,true,true,true,true,one|two
nr,ns,false,true,true,true,true,true,true,one|two
nr,ns,false,true,false,true,true,true,true,one|two
nr,ns,false,false,null,true,true,true,true,one|two
nr,nr,false,true,true,true,true,true,true,one|two
nr,nr,false,true,false,true,true,true,true,one|two
nr,nr,false,false,null,true,true,true,true,one|two
nr,ne,false,true,true,true,true,true,false,one
nr,ne,false,true,false,true,true,true,false,one
nr,ne,false,false,null,true,true,true,true,one|two
nr,none,false,true,true,true,true,true,true,one|two
nr,none,false,true,false,true,true,true,true,one|two
nr,none,false,false,null,true,true,true,true,one|two
ne,rd,true,true,true,true,true,true,true,
ne,rd,true,true,false,true,true,true,true,
ne,rd,true,false,null,true,true,true,true,
ne,ss,true,true,true,true,true,true,true,
ne,ss,true,true,false,true,true,true,true,
ne,ss,true,false,null,true,true,true,true,
ne,mt,true,true,true,true,true,true,true,
ne,mt,true,true,false,true,true,true,true,
ne,mt,true,false,null,true,true,true,true,
ne,rn,true,true,true,true,true,false,false,
ne,rn,true,true,false,true,true,false,false,
ne,rn,true,false,null,true,true,false,true,two
ne,ns,true,true,true,true,true,false,true,two
ne,ns,true,true,false,true,true,false,true,two
ne,ns,true,false,null,true,true,false,true,two
ne,nr,true,true,true,true,false,null,false,
ne,ne,true,true,true,true,true,true,false,
ne,ne,true,true,false,true,true,true,false,
ne,ne,true,false,null,true,true,true,true,
ne,none,true,true,true,true,true,true,true,
ne,none,true,true,false,true,true,true,true,
ne,none,true,false,null,true,true,true,true,
ne,rd,false,true,true,true,true,true,true,
ne,rd,false,true,false,true,true,true,true,
ne,rd,false,false,null,true,true,true,true,one|two
ne,ss,false,true,true,true,true,true,true,
ne,ss,false,true,false,true,true,true,true,
ne,ss,false,false,null,true,true,true,true,one|two
ne,mt,false,true,true,true,true,true,true,
ne,mt,false,true,false,true,true,true,true,
ne,mt,false,false,null,true,true,true,true,one|two
ne,rn,false,true,true,true,true,false,false,one
ne,rn,false,true,false,true,true,false,false,
ne,rn,false,false,null,true,true,false,true,one|two
ne,ns,false,true,true,true,true,false,true,one|two
ne,ns,false,true,false,true,true,false,true,two
ne,ns,false,false,null,true,true,false,true,one|two
ne,nr,false,true,true,true,false,null,false,one
ne,ne,false,true,true,true,true,true,false,one
ne,ne,false,true,false,true,true,true,false,
ne,ne,false,false,null,true,true,true,true,one|two
ne,none,false,true,true,true,true,true,true,one|two
ne,none,false,true,false,true,true,true,true,
ne,none,false,false,null,true,true,true,true,one|two
none,rd,true,true,true,true,true,true,false,one
none,rd,true,true,false,true,true,true,false,one
none,rd,true,false,null,true,true,true,true,one|two
none,ss,true,true,true,true,true,true,true,one|two
none,ss,true,true,false,true,true,true,true,one|two
none,ss,true,false,null,true,true,true,true,one|two
none,mt,true,true,true,true,false,null,false,one
none,rn,true,true,true,true,true,true,false,one
none,rn,true,true,false,true,true,true,false,one
none,rn,true,false,null,true,true,true,true,one|two
none,ns,true,true,true,true,true,true,true,one|two
none,ns,true,true,false,true,true,true,true,one|two
none,ns,true,false,null,true,true,true,true,one|two
none,nr,true,true,true,true,true,true,true,one|two
none,nr,true,true,false,true,true,true,true,one|two
none,nr,true,false,null,true,true,true,true,one|two
none,ne,true,true,true,true,true,true,false,one
none,ne,true,true,false,true,true,true,false,one
none,ne,true,false,null,true,true,true,true,one|two
none,none,true,true,true,true,true,true,true,one|two
none,none,true,true,false,true,true,true,true,one|two
none,none,true,false,null,true,true,true,true,one|two
none,rd,false,true,true,true,true,true,false,one
none,rd,false,true,false,true,true,true,false,one
none,rd,false,false,null,true,true,true,true,one|two
none,ss,false,true,true,true,true,true,true,one|two
none,ss,false,true,false,true,true,true,true,one|two
none,ss,false,false,null,true,true,true,true,one|two
none,mt,false,true,true,true,false,null,false,one
none,rn,false,true,true,true,true,true,false,one
none,rn,false,true,false,true,true,true,false,one
none,rn,false,false,null,true,true,true,true,one|two
none,ns,false,true,true,true,true,true,true,one|two
none,ns,false,true,false,true,true,true,true,one|two
none,ns,false,false,null,true,true,true,true,one|two
none,nr,false,true,true,true,true,true,true,one|two
none,nr,false,true,false,true,true,true,true,one|two
none,nr,false,false,null,true,true,true,true,one|two
none,ne,false,true,true,true,true,true,false,one
none,ne,false,true,false,true,true,true,false,one
none,ne,false,false,null,true,true,true,true,one|two
none,none,false,true,true,true,true,true,true,one|two
none,none,false,true,false,true,true,true,true,one|two
none,none,false,false,null,true,true,true,true,one|two